chain,h,beta,se,p
canal→coal,1,0.2818241533503042,0.05373629485926109,1.5664100614148672e-07
canal→coal,2,0.30603432825248333,0.06601822444391983,3.5589717496655837e-06
canal→coal,3,0.2780924697448064,0.04242768225084761,5.582661875000428e-11
canal→coal,4,0.27780375830998816,0.041671562490560955,2.6196340265374282e-11
canal→coal,5,0.29435875834195496,0.034965736588582604,3.813626406526279e-17
canal→coal,6,0.3776535129865523,0.05187946400954741,3.352054803326208e-13
canal→coal,7,0.3788578539262297,0.05159039370193214,2.079649290465928e-13
canal→coal,8,0.3648100123605046,0.04304205979769017,2.3374361452815404e-17
canal→coal,9,0.37933050836418564,0.05837784714083655,8.147584582855526e-11
canal→coal,10,0.380527104704782,0.06458503042842549,3.818315890573247e-09
canal→coal,11,0.38323097842278436,0.0852970825115489,7.026087910536644e-06
canal→coal,12,0.4070171031323272,0.0985090136709502,3.5997232407442765e-05
canal→coal,13,0.38627295463789524,0.09412301141317266,4.062145928176513e-05
canal→coal,14,0.4123478903747493,0.11942911245365101,0.0005550921174027704
canal→coal,15,0.4379296716729145,0.13005581371426875,0.000759234522684653
canal→coal,16,0.40555421839648376,0.1277480505508931,0.0015002190472003282
canal→coal,17,0.4172192455806743,0.12861067063845125,0.0011784370327180915
canal→coal,18,0.43239287152067907,0.12723302007353646,0.0006777310501503285
canal→coal,19,0.4248773730395826,0.16029698883759452,0.008035758256654939
canal→coal,20,0.43502222527100776,0.1622611174554667,0.007340228697868885
canal→steam hp,1,0.0033084724693501193,0.0004832713951690553,7.594732339172882e-12
canal→steam hp,2,0.006733200820947867,0.00085782626387564,4.188905297348118e-15
canal→steam hp,3,0.010303829697270377,0.0011275050894700225,6.325995184733683e-20
canal→steam hp,4,0.014028982683133968,0.0013014625278317338,4.3069475636211856e-27
canal→steam hp,5,0.01762281010561021,0.0013168668571895692,7.665500309985319e-41
canal→steam hp,6,0.02109781896104683,0.0011911369750996438,3.3679645058649545e-70
canal→steam hp,7,0.024403774240195873,0.0010518707984323496,4.515966744185482e-119
canal→steam hp,8,0.02708598206941995,0.0011294332005708973,4.293599972530107e-127
canal→steam hp,9,0.02942197433685409,0.0015023114112472553,2.0977410371433408e-85
canal→steam hp,10,0.031122760466855248,0.0021649947968331393,7.379576524193701e-47
canal→steam hp,11,0.032391929581331164,0.0027217680051385535,1.1685066765291105e-32
canal→steam hp,12,0.03309799487141468,0.003237204185023864,1.5441370133237631e-24
canal→steam hp,13,0.033132070257111346,0.0036591966337879474,1.3723805910514712e-19
canal→steam hp,14,0.032655098541867406,0.004026702427060267,5.077083877687498e-16
canal→steam hp,15,0.031871109141284576,0.004437235821103164,6.837328667385236e-13
canal→steam hp,16,0.03107454011082783,0.004928143333971896,2.8721520565302674e-10
canal→steam hp,17,0.03006932580784133,0.005493097103611503,4.39938294835032e-08
canal→steam hp,18,0.028878499949421765,0.006136689143313486,2.527777764903713e-06
canal→steam hp,19,0.027387546870036472,0.006714791140754456,4.529031377692813e-05
canal→steam hp,20,0.02581006279105108,0.007242652725625478,0.00036577523179357255
coal→steam hp,1,0.0033339815405579593,0.0011107664873526689,0.0026864038582918
coal→steam hp,2,0.006188062757053775,0.0019636174211912437,0.0016251279815894483
coal→steam hp,3,0.007266443764947894,0.002476030227129189,0.0033385386296867856
coal→steam hp,4,0.007858962485418342,0.003242659591000603,0.015366834020915359
coal→steam hp,5,0.00864505030923518,0.004037886495806578,0.03227532979952253
coal→steam hp,6,0.009400698230299709,0.004851946842204255,0.05268296412366428
coal→steam hp,7,0.009510733765181079,0.0060901011488633874,0.11836553660877074
coal→steam hp,8,0.009785708758530798,0.00759124002979836,0.19737059356589204
coal→steam hp,9,0.009288821446012618,0.008716589907866055,0.28658254096768976
coal→steam hp,10,0.008955509933761041,0.009546423824711266,0.3481924973544017
coal→steam hp,11,0.009189884734585596,0.009824932681138524,0.34960093163565
coal→steam hp,12,0.009249347609725733,0.009923661608596611,0.35131074824072706
coal→steam hp,13,0.010312938634867708,0.009980917281361044,0.3014796138776541
coal→steam hp,14,0.009462142492163816,0.009889768865588065,0.338688036834623
coal→steam hp,15,0.010529394733596042,0.01013075162718876,0.298642079251631
coal→steam hp,16,0.010988872804877703,0.010263771803741524,0.2843283434753948
coal→steam hp,17,0.012233016262696683,0.010794442135573668,0.2571009317442773
coal→steam hp,18,0.011472880640995387,0.010841783917969916,0.28995986116752726
coal→steam hp,19,0.01077388954494829,0.010553579935134566,0.30731350209054664
coal→steam hp,20,0.009879462794740945,0.010027789101237142,0.32452167920472974
canal→GDP per capita,1,0.0028217721587640164,0.011484690372518367,0.805915568640829
canal→GDP per capita,2,-0.0013616828289225824,0.014072128862121887,0.9229133986776191
canal→GDP per capita,3,-0.005786642721350218,0.01240764520974724,0.6409455348979833
canal→GDP per capita,4,-0.005635592381544415,0.014639223647793829,0.7002631621089486
canal→GDP per capita,5,-0.011281012841134228,0.015002070436591703,0.4520728708926677
canal→GDP per capita,6,-0.016797789583630016,0.01454046534243979,0.2479904017289727
canal→GDP per capita,7,-0.015703157738768396,0.014086097714365727,0.2649368665661994
canal→GDP per capita,8,-0.018754014669354835,0.012853537341045506,0.14455004011167105
canal→GDP per capita,9,-0.024427503076149208,0.01369731705909845,0.07452468304509355
canal→GDP per capita,10,-0.025354704415297406,0.01521273294106256,0.09557874920255344
